Title,Writer,Date Written,Number of Comments,Number of Likes,Link to Article
Share of the Week: Baldur’s Gate 3 – Companions,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:September 22, 2023",1,53,https://blog.playstation.com/2023/09/22/share-of-the-week-baldurs-gate-3-companions/
"Final Fantasy VII Rebirth hands-on report – playable Sephiroth, Chocobo exploration, Junon and more","Gillen McAllister (he/him)Manager, Content Communications, SIE","Date published:September 20, 2023",31,149,https://blog.playstation.com/2023/09/20/final-fantasy-vii-rebirth-hands-on-report-playable-sephiroth-chocobo-exploration-junon-and-more/
Star Ocean The Second Story R Hands-on report: A classic RPG reborn,Sachie KobariPlayStation.Blog Japan,"Date published:September 20, 2023",5,85,https://blog.playstation.com/2023/09/20/star-ocean-the-second-story-r-hands-on-report-a-classic-rpg-reborn/
,,,,,https://blog.playstation.com/2023/09/20/playstation-5-console-ea-sports-fc-24-bundle-coming-september-29/
How Marvel’s Spider-Man 2 taps into the power of PS5,"Tim Turi (he/him)Content Communications Manager, SIE","Date published:September 19, 2023",34,205,https://blog.playstation.com/2023/09/19/how-marvels-spider-man-2-taps-into-the-power-of-ps5/
"Marvel’s Spider-Man 2: hands-on report – gameplay details on symbiote powers, combat, PS5 features and more","Gillen McAllister (he/him)Manager, Content Communications, SIE","Date published:September 15, 2023",5,213,https://blog.playstation.com/2023/09/15/marvels-spider-man-2-hands-on-report-gameplay-details-on-symbiote-powers-combat-ps5-features-and-more/
Genshin Impact version 4.1: To the Stars Shining in the Depths out September 27,"Zhenzhong YiStudio Technical Director, HoYoverse","Date published:September 15, 2023",2,69,https://blog.playstation.com/2023/09/15/genshin-impact-version-4-1-to-the-stars-shining-in-the-depths-out-september-27/
Honkai: Star Rail hits PS5 on October 11 — new story and combat details revealed,"Yang YuTechnical Lead, Hoyoverse","Date published:September 14, 2023",11,95,https://blog.playstation.com/2023/09/14/honkai-star-rail-hits-ps5-on-october-11-new-story-and-combat-details-revealed/
Foamstars Open Beta Party launches this month – here’s everything you need to know,"Kosuke OkataniProducer, Square Enix","Date published:September 14, 2023",3,84,https://blog.playstation.com/2023/09/14/foamstars-open-beta-party-launches-this-month-heres-everything-you-need-to-know/
Ghostrunner 2 demo available for PS5 today – new story trailer revealed,"Stephen TakowskyGhostrunner Community Manager, 505 Games","Date published:September 14, 2023",4,94,https://blog.playstation.com/2023/09/14/ghostrunner-2-demo-available-for-ps5-today-new-story-trailer-revealed/
Final Fantasy VII Rebirth: developer interview reveals fresh gameplay details as new trailer debuts at State of Play,"Gillen McAllister (he/him)Manager, Content Communications, SIE","Date published:September 14, 2023",23,310,https://blog.playstation.com/2023/09/14/final-fantasy-vii-rebirth-developer-interview-reveals-fresh-gameplay-details-as-new-trailer-debuts-at-state-of-play/
Tales of Arise – Beyond the Dawn DLC expansion releases Nov 9,"Yusuke TomizawaGeneral Producer, Bandai Namco","Date published:September 14, 2023",10,160,https://blog.playstation.com/2023/09/14/tales-of-arise-beyond-the-dawn-dlc-expansion-releases-nov-9/
"Marvel’s Spider-Man 2: new State of Play trailer, gameplay details","Aaron EspinozaAdvanced Senior Community Manager, Insomniac Games","Date published:September 14, 2023",16,380,https://blog.playstation.com/2023/09/14/marvels-spider-man-2-new-state-of-play-trailer-gameplay-details/
"Helldivers 2 launches February 8, 2024","Katherine BaskinSocial Media and Community Manager, Arrowhead Game Studios","Date published:September 14, 2023",16,191,https://blog.playstation.com/2023/09/14/helldivers-2-launches-february-8-2024/
New Avatar: Frontiers of Pandora trailer reveals details about the hero’s journey,"Chastity VicencioEditorial Communications Manager, Ubisoft","Date published:September 14, 2023",6,161,https://blog.playstation.com/2023/09/14/new-avatar-frontiers-of-pandora-trailer-reveals-details-about-the-heros-journey/
"Resident Evil 4 DLC Separate Ways launches Sept 21, RE4 VR Mode arrives as free DLC this winter","Edvin EdsöPromotion Producer, Capcom","Date published:September 14, 2023",22,195,https://blog.playstation.com/2023/09/14/resident-evil-4-dlc-separate-ways-launches-sept-21-re4-vr-mode-arrives-as-free-dlc-this-winter/
Roblox coming to PlayStation on October 10,"Thai BuiSenior Director of Product, Roblox","Date published:September 14, 2023",130,633,https://blog.playstation.com/2023/09/14/roblox-coming-to-playstation-on-october-10/
Wonderfully weird walking sim Baby Steps toddles onto PlayStation next year,"Maxi BochDeveloper, Baby Steps","Date published:September 14, 2023",5,54,https://blog.playstation.com/2023/09/14/wonderfully-weird-walking-sim-baby-steps-toddles-onto-playstation-next-year/
Tomb Raider I-III Remastered launches Feb 14 on PS4 & PS5,"Matthew RayMarketing Lead, Aspyr","Date published:September 14, 2023",52,432,https://blog.playstation.com/2023/09/14/tomb-raider-i-iii-remastered-launches-feb-14-on-ps4-ps5/
How Mortal Kombat 1’s Invasion mode delivers a “greatest hits” single-player experience,De’Angelo EppsPlayStation Blog Correspondent,"Date published:September 14, 2023",0,52,https://blog.playstation.com/2023/09/14/how-mortal-kombat-1s-invasion-mode-delivers-a-greatest-hits-single-player-experience/
How your choices in Baldur’s Gate 3’s character creator carry through your entire playthrough,"Emily GeraProduct Manager, Larian Studios","Date published:September 14, 2023",2,58,https://blog.playstation.com/2023/09/14/how-your-choices-in-baldurs-gate-3s-character-creator-carry-through-your-entire-playthrough/
Spyro at 25: Insomniac Games and Toys for Bob celebrate 25 years of Spyro the Dragon,"Kenny LennonProduct Manager, Activision Publishing","Date published:September 13, 2023",16,80,https://blog.playstation.com/2023/09/13/spyro-at-25-insomniac-games-and-toys-for-bob-celebrate-25-years-of-spyro-the-dragon/
"PS5 update rolls out globally with new accessibility, audio, and social feature enhancements","Hideaki NishinoSenior Vice President, Platform Experience, SIE","Date published:September 13, 2023",140,388,https://blog.playstation.com/2023/09/13/ps5-update-rolls-out-globally-with-new-accessibility-audio-and-social-feature-enhancements/
Spell crafting combinations in Wizard with a Gun,"Patrick MorganCreative Director, Galvanic Games Inc","Date published:September 12, 2023",3,48,https://blog.playstation.com/2023/09/12/spell-crafting-combinations-in-wizard-with-a-gun/
Share of the Week: Sea of Stars,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:September 8, 2023",18,51,https://blog.playstation.com/2023/09/08/share-of-the-week-sea-of-stars/
Eternights’ Infected Hacker boss battle–full combat gameplay revealed,"Jae YooFounder, Studio Sai","Date published:September 5, 2023",2,84,https://blog.playstation.com/2023/09/05/eternights-infected-hacker-boss-battle-full-combat-gameplay-revealed/
How Baldur’s Gate 3 adapts its expansive RPG gameplay for your DualSense controller,"Emily GeraProduct Manager, Larian Studios","Date published:September 5, 2023",19,137,https://blog.playstation.com/2023/09/05/how-baldurs-gate-3-adapts-its-expansive-rpg-gameplay-for-your-dualsense-controller/
Players’ Choice: Armored Core VI Fires of Rubicon voted August’s best new game,"O’Dell Harmon Jr. (he/him)Specialist, Content Communications, SIE","Date published:September 5, 2023",22,124,https://blog.playstation.com/2023/09/05/players-choice-vote-for-augusts-best-new-game-2/
Share of the Week: Armored Core VI,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:September 1, 2023",8,73,https://blog.playstation.com/2023/09/01/share-of-the-week-armored-core-vi/
Find the right Baldur’s Gate 3 class for you with this starter’s guide,Heidi Kemps (she/her)PlayStation Blog Correspondent,"Date published:September 1, 2023",20,235,https://blog.playstation.com/2023/09/01/find-the-right-baldurs-gate-3-class-for-you-with-this-starters-guide/
New psychedelic Ultros gameplay reveals boss and progression loop,"Mårten BrüggemannGame Design Director, Hadoque","Date published:August 31, 2023",0,63,https://blog.playstation.com/2023/08/31/new-psychedelic-ultros-gameplay-reveals-boss-and-progression-loop/
