,Author,Timestamp,Comment,Article Link
40,Fodder185,"September 13, 2023 at 1:10 am PDT","So glad ‘Deluxe Edition / Release’, ‘Deluxe Edition Upgrade Bundle’ and ‘Deluxe Kit’ have gone on sale but don’t know what order to play this series in! /s Putting unhelpfully named DLC on here (and on the store) doesn’t make it easier to find bargains.",https://blog.playstation.com/2023/09/12/big-games-big-deals-promotion-comes-to-playstation-store-2/
41,k4rlovc4n,"September 13, 2023 at 1:57 am PDT","WOW, nice!",https://blog.playstation.com/2023/09/12/big-games-big-deals-promotion-comes-to-playstation-store-2/
42,WeedGrinders,"September 13, 2023 at 4:38 am PDT",🤢🤢,https://blog.playstation.com/2023/09/12/big-games-big-deals-promotion-comes-to-playstation-store-2/
43,MrBeens,"September 13, 2023 at 6:46 am PDT",Such a hugely informative post!,https://blog.playstation.com/2023/09/12/big-games-big-deals-promotion-comes-to-playstation-store-2/
44,Sushi_Combo,"September 13, 2023 at 8:17 am PDT",I just love how they provide the list of games on sale /s,https://blog.playstation.com/2023/09/12/big-games-big-deals-promotion-comes-to-playstation-store-2/
45,ioda321,"September 13, 2023 at 8:49 am PDT",Why some games don’t have the supposed promotion on my country?,https://blog.playstation.com/2023/09/12/big-games-big-deals-promotion-comes-to-playstation-store-2/
46,uni_corn85,"September 14, 2023 at 11:06 am PDT",Improve the ps plus monthly lineup next month please playstation,https://blog.playstation.com/2023/09/12/big-games-big-deals-promotion-comes-to-playstation-store-2/
47,fizzy_treat65,"September 14, 2023 at 1:17 pm PDT","Sweet, once more we have a chance for a bargain, have picked up most of them. Well the ones I want but cod is tricky with zombies coming out!",https://blog.playstation.com/2023/09/12/big-games-big-deals-promotion-comes-to-playstation-store-2/
48,Mr_Mike_G,"August 29, 2023 at 5:08 pm PDT",Please stop with the listing and put up images of the big deals of these sales. It would read so much better. You could sell ad space to the devs to be featured in the blog post of sales right there. These posts are missing a lot of big wins. Thanks.,https://blog.playstation.com/2023/08/29/playstation-plus-double-discounts-promotion-comes-to-playstation-store-5/
49,leonffx,"August 29, 2023 at 5:26 pm PDT",Agree on that 🤟,https://blog.playstation.com/2023/08/29/playstation-plus-double-discounts-promotion-comes-to-playstation-store-5/
50,Meravokas,"August 29, 2023 at 6:21 pm PDT","I don’t even see a listing of any kind. Just them saying it’s a sale, the time and that PS+ can get 70% off in places.",https://blog.playstation.com/2023/08/29/playstation-plus-double-discounts-promotion-comes-to-playstation-store-5/
51,mads_miskat,"August 30, 2023 at 2:00 am PDT",Meravokas – Adblocker does that,https://blog.playstation.com/2023/08/29/playstation-plus-double-discounts-promotion-comes-to-playstation-store-5/
